,ZIP code,Population
0,91901,17403
1,91902,17653
2,91905,1700
3,91906,3627
4,91910,75802
5,91911,82999
6,91913,40971
7,91914,15448
8,91915,24659
9,91916,1622
10,91917,992
11,91932,25718
12,91934,737
13,91935,8624
14,91941,31779
15,91942,38069
16,91945,25460
17,91950,60322
18,91962,1646
19,91963,1118
20,91977,58368
21,91978,8896
22,91980,165
23,92003,4746
24,92004,3881
25,92007,10429
26,92008,27649
27,92009,40747
28,92010,14382
29,92011,22405
30,92014,13154
31,92019,42598
32,92020,57767
33,92021,65068
34,92024,49121
35,92025,49978
36,92026,48922
37,92027,53881
38,92028,46239
39,92029,19021
40,92036,3440
41,92037,46781
42,92040,41281
43,92054,40375
44,92055,15655
45,92056,51835
46,92057,54096
47,92058,42436
48,92059,1618
49,92061,2499
50,92064,47904
51,92065,35414
52,92066,378
53,92067,9535
54,92069,46369
55,92070,1245
56,92071,53422
57,92075,12056
58,92078,42906
59,92081,27404
60,92082,19037
61,92083,36975
62,92084,47654
63,92086,1573
64,92091,1048
65,92096,3395
66,92101,37095
67,92102,43267
68,92103,31066
69,92104,44414
70,92105,69813
71,92106,19330
72,92107,28651
73,92108,18858
74,92109,45787
75,92110,25341
76,92111,45096
77,92113,56066
78,92114,65433
79,92115,58560
80,92116,31680
81,92117,51332
82,92118,23575
83,92119,23057
84,92120,26317
85,92121,4179
86,92122,43728
87,92123,26823
88,92124,30443
89,92126,73343
90,92127,39337
91,92128,47490
92,92129,51536
93,92130,48940
94,92131,32787
95,92134,198
96,92135,571
97,92136,10699
98,92139,35125
99,92140,3435
100,92145,1449
101,92152,499
102,92154,79708
103,92155,550
104,92173,29429
105,92182,606
106,92197,0
107,92199,0
108,92536,3810
109,92672,34464
110,91903,0
111,91908,0
112,91909,0
113,91912,0
114,91921,0
115,91931,592
116,91933,0
117,91943,0
118,91944,0
119,91946,0
120,91947,0
121,91948,78
122,91951,0
123,91976,0
124,91979,0
125,92013,0
126,92018,0
127,92022,0
128,92023,0
129,92030,0
130,92033,0
131,92038,0
132,92039,0
133,92046,0
134,92049,0
135,92051,0
136,92052,0
137,92060,218
138,92068,0
139,92072,0
140,92074,0
141,92079,0
142,92085,0
143,92088,0
144,92112,0
145,92137,0
146,92138,0
147,92142,0
148,92143,0
149,92149,0
150,92150,0
151,92153,0
152,92159,0
153,92160,0
154,92162,0
155,92163,0
156,92164,0
157,92165,0
158,92166,0
159,92167,0
160,92168,0
161,92169,0
162,92170,0
163,92171,0
164,92172,0
165,92174,0
166,92175,0
167,92176,0
168,92177,0
169,92178,0
170,92179,0
171,92186,0
172,92190,0
173,92191,0
174,92192,0
175,92193,0
176,92195,0
177,92196,0
178,92198,0
179,91987,0
180,92092,0
181,92093,0
182,92132,0
183,92147,559
184,92158,0
185,92161,0
186,92187,0
